IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,UTM_Nord,UTM_Est,lat,lng
5504,Biossido di Azoto,µg/m³,501,Milano v.Marche,129,MI,Milano,N         ,09/18/1980,5038105,514918,45.49631883,9.19093444
5507,Biossido di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N         ,12/18/1980,5042386,518435,45.53476819,9.23610903
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152,MI,Rho,N         ,10/03/1991,5041100,503483,45.52342919,9.0446025
5520,Biossido di Azoto,µg/m³,517,Turbigo,141,MI,Turbigo,N         ,01/11/1990,5041480,479423,45.52655611,8.73650211
5531,Biossido di Azoto,µg/m³,528,Milano Verziere,116,MI,Milano,N         ,11/24/1988,5034443,515270,45.46334886,9.19532511
5532,Biossido di Azoto,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,N         ,11/24/1988,5044335,517778,45.55232831,9.22776572
5534,Biossido di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N         ,05/23/1989,5036730,525583,45.48363242,9.32736196
5542,Biossido di Azoto,µg/m³,539,Milano v.Liguria,115,MI,Milano,N         ,10/24/1991,5032273,513134,45.44386047,9.16794489
5545,Biossido di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,N         ,11/01/1995,5056480,512203,45.660992,9.160225
5547,Biossido di Azoto,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N         ,10/24/1994,5044180,512693,45.547597,9.166983
5548,Biossido di Azoto,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N         ,03/17/1998,5014273,499103,45.28196356,8.98857592
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N         ,04/22/1995,5034328,490635,45.46242074,8.88021388
